email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,0,3,0
DAyCRBGLXvcxn@ya.ru,0,0,1,0
GMbKMLqgg@mail.ru,0,0,1,0
HJPGbbfgmG@mail.ru,1,1,0,0
HQltxMUxZicHTn@gmail.com,0,1,1,1
HaqMwydQvRM@ya.ru,0,0,1,0
HwNTLMUJFI@gmail.com,0,1,0,0
IVUiUo@gmail.com,1,1,0,0
MiPjN@mail.ru,2,0,0,0
MtiGsnBcMppNbg@mail.ru,2,1,0,0
NNDRekyHDorkyX@gmail.com,0,0,1,0
OfpqfmZTqq@mail.ru,1,2,1,1
PgAScW@gmail.com,1,0,1,1
PwjeZmgKphlpw@ya.ru,0,0,2,0
QGXZG@ya.ru,1,0,2,0
RTXdPxxLuerMRD@ya.ru,0,0,0,2
TodRvU@ya.ru,0,1,1,0
UiVwWpeHVFbWNA@ya.ru,0,2,1,0
VSyBdkkTOnXuCV@ya.ru,0,2,0,2
VUFsBayp@gmail.com,2,0,0,0
WAYVrrT@mail.ru,3,2,1,1
ZVWvfSjKkgg@ya.ru,0,1,0,0
bCSAMDUKgDdx@mail.ru,0,0,0,1
ceuNmV@mail.ru,1,2,1,1
dGuVCjzVQ@gmail.com,0,1,0,0
dIPfBj@gmail.com,0,1,0,0
dneWuEkKB@gmail.com,1,0,1,0
fWUIvoaKzELMA@gmail.com,0,1,0,0
kGpAHxRVWXVUEd@mail.ru,0,0,0,1
kScSUEdbUWv@mail.ru,0,0,1,0
lPdtrnuq@gmail.com,0,0,1,3
mFCikwuT@ya.ru,2,0,0,0
mxzOfPcPy@gmail.com,0,1,0,1
pQKlFEG@gmail.com,0,1,1,0
peSqLCsJ@ya.ru,0,0,1,1
qnMUtKKyQnHWE@gmail.com,0,0,0,1
reMvnpyac@gmail.com,0,0,1,0
rlAfbfbqhbfLz@gmail.com,1,0,0,1
tgnhihUWUkb@ya.ru,0,1,1,1
updRM@ya.ru,0,0,1,0
vDnqOlKpNHzYQ@mail.ru,1,1,1,1
vlMBjAG@ya.ru,0,2,1,0
wlQvxaZEl@gmail.com,0,1,0,0
wtwGqhz@gmail.com,1,0,2,0
zTtICQ@ya.ru,0,1,1,0
