email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,1,4,6,2
DAyCRBGLXvcxn@ya.ru,1,3,2,5
GMbKMLqgg@mail.ru,0,5,5,2
HJPGbbfgmG@mail.ru,5,5,2,3
HQltxMUxZicHTn@gmail.com,6,1,6,2
HaqMwydQvRM@ya.ru,8,4,2,4
HwNTLMUJFI@gmail.com,3,2,1,5
IVUiUo@gmail.com,4,3,3,0
MiPjN@mail.ru,7,2,3,3
MtiGsnBcMppNbg@mail.ru,5,3,2,2
NNDRekyHDorkyX@gmail.com,3,2,6,4
NZhYIDNgTUst@ya.ru,4,2,2,3
OfpqfmZTqq@mail.ru,2,7,4,1
PgAScW@gmail.com,5,4,3,1
PwjeZmgKphlpw@ya.ru,2,2,5,4
QGXZG@ya.ru,6,4,5,2
RTXdPxxLuerMRD@ya.ru,3,3,2,6
TodRvU@ya.ru,3,3,1,3
UiVwWpeHVFbWNA@ya.ru,4,3,3,2
VSyBdkkTOnXuCV@ya.ru,2,7,2,5
VUFsBayp@gmail.com,5,3,2,3
WAYVrrT@mail.ru,4,6,4,4
ZVWvfSjKkgg@ya.ru,5,6,3,4
bCSAMDUKgDdx@mail.ru,2,6,6,7
bkLAzb@mail.ru,2,4,0,1
ceuNmV@mail.ru,6,4,6,5
dGuVCjzVQ@gmail.com,4,7,2,5
dIPfBj@gmail.com,2,4,2,5
dneWuEkKB@gmail.com,6,8,4,4
fWUIvoaKzELMA@gmail.com,4,6,2,2
kGpAHxRVWXVUEd@mail.ru,2,2,3,5
kScSUEdbUWv@mail.ru,3,4,3,3
lPdtrnuq@gmail.com,5,3,3,4
mFCikwuT@ya.ru,4,4,2,7
mxzOfPcPy@gmail.com,4,5,3,5
nrTyrKrzk@ya.ru,2,2,0,6
oZfEirXmvYI@mail.ru,4,2,4,0
pQKlFEG@gmail.com,4,4,1,1
peSqLCsJ@ya.ru,3,3,4,5
qnMUtKKyQnHWE@gmail.com,5,5,3,4
reMvnpyac@gmail.com,8,6,3,3
rlAfbfbqhbfLz@gmail.com,5,5,2,2
tgnhihUWUkb@ya.ru,3,2,2,2
updRM@ya.ru,1,4,1,2
vDnqOlKpNHzYQ@mail.ru,3,3,4,4
vlMBjAG@ya.ru,4,6,3,0
wlQvxaZEl@gmail.com,1,3,4,4
wtwGqhz@gmail.com,6,5,4,2
xSihUcTBI@ya.ru,2,1,2,2
zTtICQ@ya.ru,6,6,4,2
